zone,n_l3_ecoregions,n_pixels,pct_l3_ecoregions,pct_pixels,weighted_R_comp_equal,weighted_Resistance,weighted_IRI_good_pow2,weighted_STAB_good_pow2,weighted_forest_structure_influence,weighted_forest_structure_support,weighted_forest_structure_constraint,weighted_climate_constraint_score,weighted_human_pressure_score,largest_l3_ecoregions
Mixed-control transition,19,38894,73.07692307692308,69.29394787008498,0.5512771068769424,0.7715149651598905,0.7779892714353259,0.8385854364192387,0.12765830044195506,0.05123480996122291,0.12765830044195506,0.09123691804335075,0.07321008132829802,Arizona/New Mexico Mountains; Klamath Mountains/California High North Coast Range; Sierra Nevada; Middle Rockies; Southern Rockies
Structure-dominated constraint,6,15891,23.076923076923077,28.31156799515402,0.42725684107598394,0.7401005200191664,0.7137935992027198,0.8412482162252876,0.38613324716461633,0.04003619701564657,0.38613324716461633,0.13321353473009548,0.07390924207028904,Idaho Batholith; Central Basin and Range; Canadian Rockies; North Cascades; Mojave Basin and Range
Climate-dominated constraint,1,1344,3.8461538461538463,2.394484134760997,0.2692307692307692,0.6760584115982056,0.7660513520240784,0.75339275598526,0.17239359409961758,0.019921220994535332,0.17239359409961758,0.41048874246641676,0.08575692062536486,Northwestern Great Plains
