zone,n_l3_ecoregions,n_pixels,pct_l3_ecoregions,pct_pixels,weighted_R_comp_equal,weighted_Resistance,weighted_IRI_good_pow2,weighted_STAB_good_pow2,weighted_forest_structure_influence,weighted_forest_structure_support,weighted_forest_structure_constraint,weighted_climate_constraint_score,weighted_human_pressure_score,largest_l3_ecoregions
Mixed-control transition,8,19152,30.76923076923077,34.121398920344205,0.4663689137373348,0.7532692521175645,0.7468876275408985,0.8356946424683035,0.12586622778411846,0.0625444164123051,0.12586622778411846,0.09337751013827163,0.07497923820128508,Klamath Mountains/California High North Coast Range; Middle Rockies; Southern Rockies; Cascades; Eastern Cascades Slopes and Foothills
Structure-constraint management,4,14422,15.384615384615385,25.694382582978495,0.4520408634955855,0.7467920855359287,0.7196598236272511,0.8437991628962934,0.3627714760868967,0.02871953419200927,0.3627714760868967,0.14649585282747724,0.07408151236744925,Idaho Batholith; Central Basin and Range; North Cascades; Columbia Plateau
High-resilience conservation priority,7,12774,26.923076923076923,22.75828894154537,0.8722926778351862,0.8457625336596266,0.8702611510875323,0.8623465626326006,0.11806661897900246,0.03683631131450506,0.11806661897900246,0.058689734042355765,0.06242629846330438,Arizona/New Mexico Mountains; Blue Mountains; Colorado Plateaus; Coast Range; Arizona/New Mexico Plateau
Low-resilience restoration priority,7,9781,26.923076923076923,17.42592955513193,0.2043614123667288,0.6825727578589624,0.6984500625957168,0.7981460915303111,0.2231079792524043,0.05859576734965613,0.2231079792524043,0.16014005872055903,0.08540461019094793,Sierra Nevada; Northwestern Great Plains; Canadian Rockies; Southern California Mountains; Central California Foothills and Coastal Mountains
