response,block_km,occupied_blocks,eligible_rows,n_predictors,random_train_rows,random_test_rows,block_train_rows,block_test_rows,block_train_groups,block_test_groups,random_r2,random_rmse,block_r2,block_rmse,r2_transferability_gap,rmse_transferability_gap,random_fit_seconds,block_fit_seconds,block_assignment_source
IRI_good_pow2,50.0,599,56259,27,45007,11252,44886,11373,479,120,0.6335775630476752,0.11637295903470174,0.2036787521221397,0.16312841278708853,0.4298988109255355,0.046755453752386794,37.964407584047876,37.01077350007836,generated
IRI_good_pow2,100.0,249,56259,27,45007,11252,41617,14642,199,50,0.6335775630476752,0.11637295903470174,0.26446547280266364,0.16528233470607867,0.36911209024501157,0.04890937567137693,37.964407584047876,34.29934591706842,released
IRI_good_pow2,200.0,81,56259,27,45007,11252,47811,8448,64,17,0.6335775630476752,0.11637295903470174,0.24637955772493614,0.17132196388794338,0.38719800532273907,0.05494900485324164,37.964407584047876,46.82562545791734,generated
Resistance,50.0,748,133372,27,106697,26675,108568,24804,598,150,0.6509972290212989,0.11940467003937316,0.30522011383575465,0.16625485848379865,0.3457771151855442,0.04685018844442548,91.02630175009836,107.74964358296711,generated
Resistance,100.0,269,133372,27,106697,26675,106387,26985,215,54,0.6509972290212989,0.11940467003937316,0.1976812990825343,0.1745026647016736,0.4533159299387646,0.05509799466230045,91.02630175009836,101.03832191694528,released
Resistance,200.0,84,133372,27,106697,26675,105377,27995,67,17,0.6509972290212989,0.11940467003937316,0.1153966891996393,0.19852876838972824,0.5356005398216596,0.07912409835035508,91.02630175009836,104.00743016600609,generated
STAB_good_pow2,50.0,599,56259,27,45007,11252,44886,11373,479,120,0.5823805891951721,0.052623061600113104,0.22795971943566296,0.06918075306038102,0.35442086975950915,0.016557691460267913,50.04671720799524,45.177955500083044,generated
STAB_good_pow2,100.0,249,56259,27,45007,11252,41617,14642,199,50,0.5823805891951721,0.052623061600113104,0.16942673055970947,0.07206892254081243,0.41295385863546263,0.019445860940699326,50.04671720799524,42.002829624922015,released
STAB_good_pow2,200.0,81,56259,27,45007,11252,47811,8448,64,17,0.5823805891951721,0.052623061600113104,0.1835163043099045,0.08401648226295663,0.3988642848852676,0.03139342066284353,50.04671720799524,49.90720712498296,generated
